datetime,open,high,low,close,median,MA365,MA182,MA121,MA30,MA14,MA7,MA3,dMed%,d365%,d182%,d121%,d30%,d14%,d7%,d3%,a365,a182,a121,a30,a14,a7,a3,aMed,fastAvg,slowAvg,spread,spreadVel,orderScore,s14_30,s7_30,longBelow,longAbove,cluster%,vel%,acc%,vol%,crossMA365,crossMA182,crossMA121,crossMA30,crossMA14,crossMA7,crossMA3,crossMed,MA3_7,MA7_14,MA14_30,MA30_121,MA121_182,MA182_365
2010.05.17 00:00,1.45244,1.45408,1.42509,1.44850,1.50923,1.60075,1.56781,1.53754,1.50923,1.48041,1.46740,1.45385,-4.0240,-9.5111,-7.6098,-5.7910,-4.0240,-2.1555,-1.2881,-0.3678,0,0,0,0,0,0,0,0,1.46722,1.56870,-0.101479,0.000000,-6,0,0,0,1,2.8817,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010.05.18 00:00,1.44846,1.45172,1.42755,1.42801,1.50432,1.60034,1.56584,1.53526,1.50432,1.47188,1.45447,1.44332,-5.0725,-10.7684,-8.8020,-6.9858,-5.0725,-2.9804,-1.8194,-1.0610,0,0,0,0,0,0,0,0,1.45656,1.56715,-0.110588,0.000000,-6,0,0,0,1,3.0161,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010.05.19 00:00,1.42800,1.44650,1.42362,1.44530,1.50031,1.59995,1.56401,1.53308,1.50031,1.46538,1.44697,1.44060,-3.6667,-9.6658,-7.5903,-5.7260,-3.6667,-1.3700,-0.1154,0.3260,0,0,0,0,0,0,1,0,1.45098,1.56568,-0.114699,0.000000,-6,0,0,0,1,3.1029,0.0000,0.0000,0.0421,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010.05.20 00:00,1.44500,1.44586,1.42323,1.43509,1.49564,1.59941,1.56216,1.53077,1.49564,1.46112,1.44207,1.43613,-4.0486,-10.2739,-8.1343,-6.2506,-4.0486,-1.7814,-0.4842,-0.0726,0,0,0,0,0,0,0,0,1.44644,1.56411,-0.117673,0.000000,-6,0,0,0,1,3.1701,0.0000,0.0000,0.0311,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
2010.05.21 00:00,1.43513,1.44950,1.43173,1.44587,1.49133,1.59888,1.56046,1.52866,1.49133,1.45768,1.44055,1.44209,-3.0480,-9.5695,-7.3433,-5.4159,-3.0480,-0.8102,0.3690,0.2624,0,0,0,0,0,1,1,0,1.44677,1.56267,-0.115892,0.000000,-4,0,0,0,1,3.2022,0.0000,0.0000,0.0261,0,0,0,0,0,1,1,0,1,0,0,0,0,0
2010.05.24 00:00,1.44651,1.45273,1.43511,1.44032,1.48686,1.59829,1.55883,1.52660,1.48686,1.45316,1.43892,1.44043,-3.1299,-9.8834,-7.6026,-5.6519,-3.1299,-0.8836,0.0974,-0.0074,0,0,0,0,0,1,0,0,1.44417,1.56124,-0.117072,0.000000,-4,0,0,0,1,3.2309,0.9231,0.0000,0.0226,0,0,0,0,0,0,-1,0,1,0,0,0,0,0
2010.05.25 00:00,1.44045,1.44474,1.42584,1.44315,1.48257,1.59771,1.55714,1.52467,1.48257,1.44821,1.44195,1.44311,-2.6588,-9.6739,-7.3207,-5.3467,-2.6588,-0.3493,0.0835,0.0025,0,0,0,0,0,1,1,0,1.44442,1.55984,-0.115419,0.000000,-4,0,0,0,1,3.2460,0.6898,0.0000,0.0206,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2010.05.26 00:00,1.44315,1.44417,1.43303,1.43753,1.47766,1.59711,1.55544,1.52252,1.47766,1.44368,1.44039,1.44033,-2.7157,-9.9919,-7.5802,-5.5822,-2.7157,-0.4261,-0.1987,-0.1946,0,0,0,0,0,0,0,0,1.44147,1.55836,-0.116887,0.000000,-6,0,0,0,1,3.2640,0.5485,0.0000,0.0229,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
2010.05.27 00:00,1.43765,1.46058,1.43722,1.45648,1.47457,1.59657,1.55378,1.52070,1.47457,1.44337,1.44467,1.44572,-1.2265,-8.7746,-6.2622,-4.2230,-1.2265,0.9082,0.8175,0.7443,0,0,0,0,1,1,1,0,1.44459,1.55702,-0.112431,0.000000,-2,0,0,0,1,3.2644,0.5363,0.0000,0.0389,0,0,0,0,1,1,1,0,1,1,0,0,0,0
2010.05.28 00:00,1.45645,1.46092,1.44341,1.44562,1.47117,1.59600,1.55220,1.51872,1.47117,1.44259,1.44462,1.44654,-1.7369,-9.4225,-6.8663,-4.8133,-1.7369,0.2102,0.0692,-0.0638,0,0,0,0,1,1,0,0,1.44458,1.55564,-0.111058,0.000000,-2,0,0,0,1,3.2615,0.5294,0.0000,0.0415,0,0,0,0,0,0,-1,0,1,1,0,0,0,0
2010.05.31 00:00,1.44308,1.45468,1.44266,1.45361,1.46753,1.59537,1.55068,1.51690,1.46753,1.44310,1.44728,1.45190,-0.9487,-8.8855,-6.2596,-4.1721,-0.9487,0.7284,0.4375,0.1175,0,0,0,0,1,1,1,0,1.44743,1.55431,-0.106887,0.000000,-2,0,0,0,1,3.2488,0.5232,0.2021,0.0407,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2010.06.01 00:00,1.45356,1.47193,1.44384,1.46411,1.46467,1.59467,1.54928,1.51535,1.46467,1.44671,1.45147,1.45445,-0.0382,-8.1874,-5.4972,-3.3817,-0.0382,1.2029,0.8708,0.6644,0,0,0,0,1,1,1,0,1.45087,1.55310,-0.102226,0.000000,-2,0,0,0,1,3.2273,0.1902,0.2559,0.0463,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2010.06.02 00:00,1.46410,1.47690,1.45529,1.46537,1.46203,1.59393,1.54776,1.51385,1.46203,1.44872,1.45704,1.46103,0.2288,-8.0654,-5.3234,-3.2024,0.2288,1.1496,0.5718,0.2971,0,0,0,1,1,1,1,1,1.45559,1.55185,-0.096252,0.000000,-2,0,0,0,1,3.1961,0.1994,0.4679,0.0515,0,0,0,1,0,0,0,1,1,1,0,0,0,0
2010.06.03 00:00,1.46538,1.47418,1.45856,1.46189,1.46379,1.59328,1.54620,1.51229,1.45969,1.45140,1.45812,1.46379,-0.1298,-8.2465,-5.4525,-3.3327,0.1509,0.7231,0.2586,-0.1298,0,0,0,1,1,1,0,0,1.45777,1.55059,-0.092820,0.000000,-2,0,0,0,1,3.1648,0.2063,0.4144,0.0572,0,0,0,0,0,0,-1,-1,1,1,0,0,0,0
2010.06.04 00:00,1.46192,1.46805,1.44525,1.44537,1.45807,1.59263,1.54458,1.51063,1.45674,1.45135,1.45807,1.45754,-0.8710,-9.2463,-6.4233,-4.3198,-0.7802,-0.4117,-0.8710,-0.8352,0,0,0,0,0,0,0,0,1.45565,1.54928,-0.093627,0.000000,-4,0,1,0,1,3.1381,0.2114,0.3833,0.0568,0,0,0,-1,-1,-1,0,0,0,1,0,0,0,0
2010.06.07 00:00,1.44183,1.45613,1.43877,1.44685,1.45672,1.59205,1.54303,1.50913,1.45533,1.45200,1.45672,1.45137,-0.6774,-9.1201,-6.2331,-4.1272,-0.5830,-0.3545,-0.6774,-0.3114,0,0,0,0,0,0,0,0,1.45336,1.54807,-0.094708,0.000000,-4,0,1,0,1,3.1170,0.2081,0.0751,0.0664,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010.06.08 00:00,1.44686,1.45274,1.43456,1.44521,1.45374,1.59143,1.54148,1.50777,1.45374,1.45220,1.45294,1.44581,-0.5869,-9.1881,-6.2451,-4.1491,-0.5869,-0.4816,-0.5319,-0.0415,0,0,0,0,0,0,0,0,1.45032,1.54689,-0.096576,0.000000,-4,0,0,0,1,3.1011,0.5006,0.0044,0.0737,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010.06.09 00:00,1.44522,1.46072,1.43954,1.45365,1.45382,1.59075,1.54014,1.50656,1.45229,1.45382,1.45059,1.44857,-0.0114,-8.6184,-5.6154,-3.5119,0.0935,-0.0114,0.2107,0.3507,0,0,0,1,0,1,1,0,1.45099,1.54581,-0.094820,0.000000,-4,1,0,0,1,3.0850,0.4816,0.0029,0.0763,0,0,0,1,0,1,1,0,0,0,1,0,0,0
2010.06.10 00:00,1.45365,1.47172,1.45084,1.46968,1.45618,1.59011,1.53890,1.50539,1.45125,1.45514,1.45215,1.45618,0.9271,-7.5738,-4.4982,-2.3725,1.2701,0.9995,1.2070,0.9271,0,0,0,1,1,1,1,1,1.45449,1.54480,-0.090314,0.000000,-2,1,1,0,1,3.0650,0.4559,0.0078,0.0810,0,0,0,0,1,0,0,1,1,0,1,0,0,0
2010.06.11 00:00,1.46965,1.47578,1.45036,1.45500,1.45944,1.58933,1.53756,1.50419,1.44998,1.45607,1.45408,1.45944,-0.3045,-8.4520,-5.3696,-3.2703,0.3459,-0.0738,0.0634,-0.3045,0,0,0,1,0,1,0,0,1.45653,1.54369,-0.087162,0.000000,-2,1,1,0,1,3.0444,0.2738,0.0047,0.0796,0,0,0,0,-1,0,-1,-1,1,0,1,0,0,0
2010.06.14 00:00,1.45535,1.48078,1.45501,1.47342,1.46603,1.58867,1.53638,1.50309,1.45061,1.45806,1.45939,1.46603,0.5039,-7.2545,-4.0978,-1.9738,1.5722,1.0538,0.9612,0.5039,0,0,0,1,1,1,1,1,1.46116,1.54271,-0.081552,0.000000,0,1,1,0,1,3.0201,0.2121,0.0641,0.0929,0,0,0,0,1,0,1,1,1,1,1,0,0,0
2010.06.15 00:00,1.47342,1.48361,1.46819,1.48008,1.46950,1.58809,1.53522,1.50205,1.45182,1.45965,1.46637,1.46950,0.7200,-6.8013,-3.5914,-1.4630,1.9463,1.3995,0.9352,0.7200,0,0,0,1,1,1,1,1,1.46517,1.54179,-0.076614,0.000000,0,1,1,0,1,2.9922,0.1319,0.1349,0.0839,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2010.06.16 00:00,1.48027,1.48542,1.47053,1.47175,1.47508,1.58744,1.53401,1.50096,1.45288,1.46029,1.46999,1.47508,-0.2260,-7.2880,-4.0589,-1.9464,1.2988,0.7848,0.1200,-0.2260,0,0,0,1,1,1,0,0,1.46845,1.54081,-0.072354,0.000000,0,1,1,0,1,2.9628,0.0404,0.1120,0.0796,0,0,0,0,0,0,-1,-1,1,1,1,0,0,0
2010.06.17 00:00,1.47179,1.48365,1.46445,1.48121,1.47768,1.58683,1.53284,1.49985,1.45530,1.46222,1.47229,1.47768,0.2389,-6.6563,-3.3682,-1.2426,1.7805,1.2986,0.6057,0.2389,0,0,0,1,1,1,1,1,1.47073,1.53984,-0.069109,0.000000,0,1,1,0,1,2.9319,0.2791,0.2305,0.0699,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2010.06.18 00:00,1.48133,1.48852,1.47705,1.48223,1.47840,1.58625,1.53180,1.49886,1.45698,1.46591,1.47774,1.47840,0.2593,-6.5575,-3.2362,-1.1096,1.7333,1.1134,0.3040,0.2593,0,0,0,1,1,1,1,1,1.47401,1.53897,-0.064956,0.000000,0,1,1,0,1,2.8982,0.4823,0.3517,0.0787,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2010.06.21 00:00,1.48575,1.49352,1.47377,1.47614,1.47986,1.58558,1.53072,1.49803,1.45884,1.46884,1.47828,1.47986,-0.2514,-6.9021,-3.5657,-1.4614,1.1857,0.4972,-0.1449,-0.2514,0,0,0,1,1,0,0,0,1.47566,1.53811,-0.062451,0.000000,0,1,1,0,1,2.8641,0.5673,0.0657,0.0728,0,0,0,0,0,-1,-1,-1,1,1,1,0,0,0
2010.06.22 00:00,1.47617,1.48577,1.46866,1.48031,1.47956,1.58498,1.52976,1.49726,1.46041,1.47235,1.47833,1.47956,0.0507,-6.6041,-3.2322,-1.1323,1.3628,0.5408,0.1341,0.0507,0,0,0,1,1,1,1,1,1.47675,1.53733,-0.060589,0.000000,0,1,1,0,1,2.8299,0.5913,0.0519,0.0805,0,0,0,0,0,1,1,1,1,1,1,0,0,0
2010.06.23 00:00,1.48033,1.49724,1.48019,1.49572,1.48406,1.58441,1.52898,1.49666,1.46293,1.47655,1.48312,1.48406,0.7859,-5.5975,-2.1752,-0.0629,2.2416,1.2980,0.8494,0.7859,0,0,0,1,1,1,1,1,1.48124,1.53668,-0.055438,0.000000,0,1,1,0,1,2.7933,0.6083,0.0704,0.0910,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2010.06.24 00:00,1.49566,1.50102,1.49151,1.49217,1.48940,1.58383,1.52817,1.49607,1.46515,1.47880,1.48531,1.48940,0.1860,-5.7874,-2.3561,-0.2608,1.8439,0.9039,0.4616,0.1860,0,0,0,1,1,1,1,1,1.48451,1.53603,-0.051520,0.000000,0,1,1,0,1,2.7561,0.6773,0.0908,0.0836,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2010.06.25 00:00,1.49223,1.50756,1.48557,1.50601,1.49567,1.58332,1.52749,1.49567,1.46827,1.48390,1.49007,1.49797,0.6912,-4.8830,-1.4061,0.6912,2.5706,1.4897,1.0697,0.5370,0,0,1,1,1,1,1,1,1.49065,1.53549,-0.044847,0.000000,0,1,1,0,0,2.7173,0.7749,0.0940,0.0965,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2010.06.28 00:00,1.50538,1.51280,1.50171,1.50955,1.49675,1.58277,1.52679,1.49549,1.47068,1.48752,1.49675,1.50258,0.8551,-4.6262,-1.1291,0.9404,2.6430,1.4812,0.8551,0.4641,0,0,1,1,1,1,1,1,1.49562,1.53502,-0.039400,0.000000,0,1,1,0,0,2.6784,0.8114,0.1669,0.0899,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2010.06.29 00:00,1.50955,1.51195,1.50113,1.50582,1.50185,1.58219,1.52614,1.49528,1.47342,1.49009,1.50185,1.50713,0.2641,-4.8270,-1.3312,0.7047,2.1992,1.0556,0.2641,-0.0867,0,0,1,1,1,1,0,1,1.49969,1.53454,-0.034847,0.000000,0,1,1,0,0,2.6413,0.8907,0.3046,0.0882,0,0,0,0,0,0,-1,0,1,1,1,0,0,0
2010.06.30 00:00,1.50591,1.50723,1.49326,1.49393,1.50150,1.58160,1.52526,1.49522,1.47525,1.49231,1.50150,1.50310,-0.5039,-5.5434,-2.0540,-0.0861,1.2663,0.1086,-0.5039,-0.6101,0,0,0,1,1,0,0,0,1.49897,1.53403,-0.035058,0.000000,0,1,1,0,0,2.6037,0.8423,0.1566,0.0751,0,0,-1,0,0,-1,0,-1,1,1,1,0,0,0
2010.07.01 00:00,1.49395,1.51892,1.48730,1.51665,1.50547,1.58110,1.52450,1.49545,1.47764,1.49585,1.50639,1.50547,0.7428,-4.0760,-0.5149,1.4174,2.6402,1.3903,0.6810,0.7428,0,0,1,1,1,1,1,1,1.50257,1.53368,-0.031113,0.000000,-2,1,1,0,0,2.5670,0.8519,0.1804,0.0473,0,0,1,0,0,1,1,1,0,1,1,0,0,0
2010.07.02 00:00,1.51665,1.52282,1.51498,1.51938,1.50907,1.58065,1.52381,1.49556,1.48009,1.49957,1.50907,1.50999,0.6835,-3.8765,-0.2905,1.5924,2.6544,1.3212,0.6835,0.6221,0,0,1,1,1,1,1,1,1.50621,1.53334,-0.027135,0.000000,0,1,1,0,0,2.5313,0.8024,0.0367,0.0398,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2010.07.05 00:00,1.51940,1.51978,1.50893,1.51341,1.50984,1.58019,1.52315,1.49569,1.48243,1.50330,1.50984,1.51648,0.2366,-4.2262,-0.6393,1.1848,2.0896,0.6729,0.2366,-0.2024,0,0,1,1,1,1,0,1,1.50987,1.53301,-0.023138,0.000000,0,1,1,0,0,2.4974,0.7992,0.0057,0.0359,0,0,0,0,0,0,-1,0,1,1,1,0,0,0
2010.07.06 00:00,1.51335,1.52263,1.50809,1.51491,1.51166,1.57976,1.52248,1.49570,1.48559,1.50676,1.51166,1.51590,0.2153,-4.1049,-0.4974,1.2842,1.9733,0.5412,0.2153,-0.0653,0,0,1,1,1,1,0,1,1.51144,1.53265,-0.021210,0.000000,0,1,1,0,0,2.4631,0.5821,0.0568,0.0324,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2010.07.07 00:00,1.51488,1.52180,1.50806,1.51784,1.51539,1.57939,1.52190,1.49585,1.48882,1.50897,1.51644,1.51539,0.1619,-3.8972,-0.2670,1.4703,1.9491,0.5880,0.0925,0.1619,0,0,1,1,1,1,1,1,1.51360,1.53238,-0.018783,0.000000,-2,1,1,0,0,2.4291,0.8174,0.0372,0.0359,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010.07.08 00:00,1.51782,1.52401,1.51015,1.51610,1.51628,1.57905,1.52124,1.49603,1.49204,1.51136,1.51633,1.51628,-0.0121,-3.9864,-0.3376,1.3415,1.6123,0.3136,-0.0150,-0.0121,0,0,1,1,1,0,0,0,1.51466,1.53210,-0.017448,0.000000,-2,1,1,0,0,2.3951,0.6596,0.0268,0.0358,0,0,0,0,0,-1,-1,-1,0,1,1,0,0,0
2010.07.09 00:00,1.51583,1.52036,1.50500,1.50627,1.51340,1.57855,1.52042,1.49612,1.49444,1.51139,1.51371,1.51340,-0.4713,-4.5791,-0.9308,0.6782,0.7919,-0.3385,-0.4912,-0.4713,0,0,1,1,0,0,0,0,1.51283,1.53170,-0.018868,0.000000,-2,1,1,0,0,2.3614,0.2263,0.0193,0.0339,0,0,0,0,-1,0,0,0,0,1,1,0,0,0
2010.07.12 00:00,1.50617,1.50849,1.49478,1.50253,1.51068,1.57810,1.51954,1.49608,1.49593,1.51068,1.51153,1.50830,-0.5398,-4.7885,-1.1192,0.4315,0.4413,-0.5398,-0.5954,-0.3825,0,0,1,1,0,0,0,0,1.51017,1.53124,-0.021065,0.000000,-2,1,1,0,0,2.3289,0.0258,0.0019,0.0350,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2010.07.13 00:00,1.50255,1.51916,1.49638,1.51791,1.51189,1.57769,1.51869,1.49605,1.49879,1.51189,1.51213,1.50890,0.3980,-3.7889,-0.0513,1.4614,1.2758,0.3980,0.3822,0.5969,0,0,1,1,1,1,1,1,1.51098,1.53081,-0.019832,0.000000,0,1,1,0,0,2.2970,0.0231,0.0091,0.0354,0,0,0,0,1,1,1,1,0,1,1,1,0,0
2010.07.14 00:00,1.51782,1.52958,1.51725,1.52674,1.51517,1.57728,1.51786,1.49630,1.50121,1.51517,1.51391,1.51573,0.7633,-3.2041,0.5850,2.0341,1.7005,0.7633,0.8475,0.7266,0,1,1,1,1,1,1,1,1.51494,1.53048,-0.015544,0.000000,0,1,1,0,0,2.2654,0.0224,0.0801,0.0350,0,1,0,0,0,0,0,0,1,0,1,1,0,0
2010.07.15 00:00,1.52671,1.54706,1.52355,1.54451,1.51796,1.57690,1.51723,1.49655,1.50414,1.51796,1.51959,1.52972,1.7491,-2.0541,1.7982,3.2048,2.6839,1.7491,1.6398,0.9668,0,1,1,1,1,1,1,1,1.52242,1.53023,-0.007801,0.000000,2,1,1,0,0,2.2370,0.2153,0.0488,0.0339,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2010.07.16 00:00,1.54453,1.54465,1.52783,1.52995,1.51902,1.57646,1.51642,1.49653,1.50679,1.51902,1.52433,1.53373,0.7197,-2.9503,0.8925,2.2334,1.5373,0.7197,0.3688,-0.2467,0,1,1,1,1,1,0,1,1.52569,1.52980,-0.004108,0.000000,2,1,1,0,0,2.2113,0.5049,0.0104,0.0338,0,0,0,0,0,0,-1,0,1,1,1,1,0,0
2010.07.19 00:00,1.52885,1.53505,1.52027,1.52308,1.51998,1.57603,1.51554,1.49650,1.50869,1.51998,1.52844,1.53251,0.2037,-3.3599,0.4976,1.7758,0.9539,0.2037,-0.3506,-0.6155,0,1,1,1,1,0,0,1,1.52698,1.52936,-0.002381,0.000000,2,1,1,0,0,2.1870,0.6156,0.0029,0.0358,0,0,0,0,0,-1,0,0,1,1,1,1,0,0
2010.07.20 00:00,1.52309,1.53095,1.51534,1.52761,1.52125,1.57554,1.51475,1.49681,1.51075,1.52125,1.53038,1.52688,0.4178,-3.0423,0.8491,2.0579,1.1159,0.4178,-0.1809,0.0478,0,1,1,1,1,0,1,1,1.52617,1.52903,-0.002862,0.000000,0,1,1,0,0,2.1626,0.6192,0.0277,0.0347,0,0,0,0,0,0,1,0,0,1,1,1,0,0
2010.07.21 00:00,1.52762,1.53335,1.51235,1.51676,1.52115,1.57505,1.51395,1.49689,1.51260,1.52115,1.52838,1.52248,-0.2883,-3.7007,0.1855,1.3276,0.2751,-0.2883,-0.7604,-0.3759,0,1,1,1,0,0,0,0,1.52400,1.52863,-0.004625,0.000000,0,1,1,0,0,2.1375,0.3941,0.0084,0.0370,0,0,0,0,-1,0,-1,-1,0,1,1,1,0,0
2010.07.22 00:00,1.51675,1.52950,1.51496,1.52558,1.52209,1.57458,1.51329,1.49714,1.51466,1.52209,1.52460,1.52332,0.2290,-3.1121,0.8122,1.8994,0.7212,0.2290,0.0645,0.1486,0,1,1,1,1,1,1,1,1.52334,1.52834,-0.005003,0.000000,0,1,1,0,0,2.1126,0.0398,0.0109,0.0379,0,0,0,0,1,1,1,1,0,1,1,1,0,0
2010.07.23 00:00,1.52557,1.54484,1.52556,1.54253,1.52572,1.57417,1.51265,1.49776,1.51678,1.52572,1.52711,1.52829,1.1018,-2.0101,1.9751,2.9889,1.6974,1.1018,1.0096,0.9318,0,1,1,1,1,1,1,1,1.52704,1.52820,-0.001156,0.000000,2,1,1,0,0,2.0895,0.0827,0.0614,0.0384,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2010.07.26 00:00,1.54136,1.55187,1.54091,1.54826,1.53029,1.57381,1.51214,1.49854,1.51933,1.53029,1.53215,1.53879,1.1741,-1.6234,2.3890,3.3182,1.9039,1.1741,1.0516,0.6154,0,1,1,1,1,1,1,1,1.53374,1.52816,0.005584,0.000000,2,1,1,0,0,2.0695,0.2427,0.0102,0.0358,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2010.07.27 00:00,1.54822,1.55990,1.54424,1.55950,1.53445,1.57346,1.51168,1.49934,1.52176,1.53445,1.53853,1.55010,1.6324,-0.8874,3.1631,4.0124,2.4797,1.6324,1.3633,0.6066,0,1,1,1,1,1,1,1,1.54102,1.52816,0.012862,0.000000,2,1,1,0,0,2.0529,0.5324,0.0578,0.0319,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2010.07.28 00:00,1.55951,1.56385,1.55469,1.55880,1.53766,1.57314,1.51127,1.50004,1.52400,1.53766,1.54693,1.55552,1.3749,-0.9115,3.1450,3.9171,2.2833,1.3749,0.7671,0.2109,0,1,1,1,1,1,1,1,1.54670,1.52815,0.018553,0.000000,2,1,1,0,0,2.0387,0.7540,0.1718,0.0268,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2010.07.29 00:00,1.55883,1.56607,1.55789,1.56100,1.53931,1.57285,1.51098,1.50066,1.52651,1.53931,1.55402,1.55977,1.4093,-0.7532,3.3104,4.0207,2.2593,1.4093,0.4493,0.0791,0,1,1,1,1,1,1,1,1.55103,1.52816,0.022867,0.000000,2,1,1,0,0,2.0265,0.7827,0.1954,0.0269,0,0,0,0,0,0,0,0,1,1,1,1,0,0
2010.07.30 00:00,1.56100,1.57200,1.55511,1.56878,1.54319,1.57254,1.51077,1.50125,1.52991,1.54319,1.55927,1.56286,1.6583,-0.2388,3.8399,4.4983,2.5404,1.6583,0.6100,0.3788,0,1,1,1,1,1,1,1,1.55511,1.52818,0.026921,0.000000,2,1,1,0,0,2.0154,0.8656,0.2079,0.0287,0,0,0,0,0,0,0,0,1,1,1,1,0,0
